English,Turkish
fall,düşmek
oh,ah
nation,ulus
plan,plan
cut,kesmek
college,kolej
interest,faiz
death,ölüm
course,kurs
someone,birisi
experience,deneyim
behind,arka
reach,ulaşmak
local,yerel
kill,öldürmek
six,altı
remain,geriye kalmak
effect,etki
yeah,Evet
suggest,tavsiye etmek
class,sınıf
control,kontrol
raise,artırmak
care,bakım
perhaps,belki
late,geç
hard,zor
field,alan
else,başka
pass,geçmek
former,önceki
sell,satmak
major,ana
sometimes,Bazen
require,gerekmek
along,birlikte
development,gelişim
themselves,kendileri
report,rapor
role,rol
better,daha iyi
economic,ekonomik
effort,çaba
decide,karar vermek
rate,oran
strong,güçlü
possible,olası
heart,kalp
drug,ilaç
leader,Önder
light,ışık
voice,ses
wife,eş
whole,tüm
police,polis
mind,akıl
finally,Sonunda
pull,çekmek
return,geri dönmek
free,özgür
military,askeri
price,fiyat
less,az
according,binaen
decision,karar
explain,açıklamak
son,oğul
hope,umut
develop,geliştirmek
view,görüş
relationship,ilişki
carry,taşımak
town,şehir
road,yol
drive,sürmek
arm,kol
TRUE,DOĞRU
federal,federal
break,kırmak
difference,fark
thank,teşekkür etmek
receive,almak
value,değer
international,uluslararası
building,bina
action,aksiyon
full,tam dolu
model,modeli
join,katılmak
season,mevsim
society,toplum
tax,vergi
director,müdür
position,konum
player,oyuncu
agree,kabul etmek
especially,özellikle
record,kayıt
pick,seçmek
wear,giymek
paper,kağıt
special,özel
space,uzay
ground,zemin
form,biçim
support,Destek
event,etkinlik
official,resmi
whose,kimin
matter,konu
everyone,herkes
center,merkez
couple,çift
site,alan
project,proje
hit,vurmak
base,temel
activity,aktivite
star,yıldız
table,masa
court,mahkeme
produce,üretmek
eat,yemek yemek
teach,öğretmek
oil,yağ
half,yarım
situation,durum
easy,kolay
cost,maliyet
industry,endüstri
figure,figür
street,sokak
image,görüntü
itself,kendisi
phone,telefon
either,herhangi biri
data,veri
cover,kapak
quite,epeyce
picture,resim
clear,temizlemek
practice,pratik
piece,parça
land,kara
recent,son
describe,betimlemek
product,ürün
doctor,doktor
wall,duvar
patient,hasta
worker,çalışan
news,haberler
test,Ölçek
movie,film
certain,kesin
north,kuzey
personal,kişisel
simply,basitçe
third,üçüncü
technology,teknoloji
catch,yakalamak
step,adım
baby,Bebek
computer,bilgisayar
type,tip
attention,dikkat
draw,çizmek
film,film
Republican,Cumhuriyetçi
tree,ağaç
source,kaynak
red,kırmızı
nearly,neredeyse
organization,organizasyon
choose,seçmek
cause,neden
hair,saç
century,yüzyıl
evidence,kanıt
window,pencere
difficult,zor
listen,Dinlemek
soon,yakında
culture,kültür
billion,milyar
chance,şans
brother,Erkek kardeş
energy,enerji
period,dönem
summer,yaz
realize,fark etmek
hundred,yüz
available,mevcut
plant,bitki
likely,büyük ihtimalle
opportunity,fırsat
term,terim
short,kısa
letter,mektup
condition,durum
choice,seçenek
single,Bekar
rule,kural
daughter,kız çocuğu
administration,yönetim
south,güney
husband,koca
Congress,Kongre
floor,zemin
campaign,kampanya
material,malzeme
population,nüfus
economy,ekonomi
medical,tıbbi
hospital,hastane
church,kilise
close,kapalı
thousand,bin
risk,risk
current,akım
fire,ateş
future,gelecek
wrong,yanlış
involve,içermek
defense,savunma
anyone,herhangi biri
increase,arttırmak
security,güvenlik
bank,banka
myself,kendim
certainly,kesinlikle
west,batı
sport,spor
board,pano
seek,aramak
per,başına
subject,ders
officer,subay
private,özel
rest,dinlenmek
behavior,davranış
deal,anlaşmak
performance,verim
fight,kavga
throw,fırlatmak
top,tepe
quickly,hızlıca
past,geçmiş
goal,amaç
bed,yatak
order,emir
author,yazar
fill,doldurmak
represent,temsil etmek
focus,odak
foreign,yabancı
drop,düşürmek
blood,kan
upon,üzerine
agency,Ajans
push,itmek
nature,doğa
color,renk
recently,son zamanlarda
store,mağaza
reduce,azaltmak
sound,ses
note,Not
fine,iyi
near,yakın
movement,hareket
page,sayfa
enter,girmek
share,paylaşmak
common,yaygın
poor,fakir
natural,doğal
race,ırk
concern,kaygı
series,seri
significant,önemli
similar,benzer
hot,sıcak
language,dil
usually,genellikle
response,cevap
dead,ölü
rise,yükselmek
animal,hayvan
factor,faktör
decade,on yıl
article,madde
shoot,film çekmek
east,doğu
save,kaydetmek
seven,Yedi
artist,sanatçı
scene,sahne
stock,stoklamak
career,kariyer
despite,aksine
central,merkezi
eight,sekiz
thus,Böylece
treatment,tedavi
beyond,öte
happy,mutlu
exactly,Kesinlikle
protect,korumak
approach,yaklaşmak
lie,yalan
size,boyut
dog,köpek
fund,"fon, sermaye"
serious,cidden
occur,meydana gelmek
media,medya
ready,hazır
sign,imza
thought,düşünce
list,liste
individual,bireysel
simple,basit
quality,kalite
pressure,basınç
accept,kabul etmek
answer,cevap
resource,kaynak
identify,tanımlamak
left,sol
meeting,toplantı
determine,belirlemek
prepare,hazırlanmak
disease,hastalık
whatever,Her neyse
success,başarı
argue,tartışmak
cup,bardak
particularly,özellikle
amount,miktar
ability,yetenek
staff,kadro
recognize,tanımak
indicate,belirtmek
character,karakter
growth,büyüme
loss,kayıp
degree,derece
wonder,merak etmek
attack,saldırı
herself,kendini
region,bölge
television,televizyon
box,kutu
TV,televizyon
training,eğitim
pretty,tatlı
trade,ticaret
election,seçim
everybody,herkes
physical,fiziksel
lay,sermek
general,genel
feeling,his
standard,standart
bill,fatura
message,İleti
fail,hata
outside,dıştan
arrive,varmak
analysis,analiz
benefit,fayda
sex,seks
forward,ileri
lawyer,avukat
present,Sunmak
section,bölüm
environmental,çevresel
glass,bardak
skill,yetenek
sister,kız kardeş
PM,ÖĞLEDEN SONRA
professor,profesör
operation,operasyon
financial,parasal
crime,suç
stage,sahne
ok,Tamam
compare,karşılaştırmak
authority,yetki
miss,kayıp
design,tasarım
sort,düzenlemek
act,davranmak
ten,on
knowledge,bilgi
gun,silah
station,istasyon
blue,mavi
strategy,strateji
clearly,Açıkça
discuss,tartışmak
indeed,Aslında
truth,gerçek
song,şarkı
example,örnek
democratic,demokratik
check,kontrol etmek
environment,çevre
leg,bacak
dark,karanlık
various,çeşitli
rather,yerine
laugh,gülmek
guess,tahmin etmek
executive,yönetici
prove,kanıtlamak
hang,asmak
entire,bütün
rock,kaynak
forget,unutmak
claim,iddia
remove,kaldırmak
manager,müdür
enjoy,Eğlence
network,ağ
legal,yasal
religious,din
cold,soğuk
final,son
main,ana
science,bilim
green,yeşil
memory,hafıza
card,kart
above,üstünde
seat,koltuk
cell,hücre
establish,kurmak
nice,Güzel
trial,duruşma
expert,uzman
spring,bahar
firm,firma
Democrat,Demokrat
radio,radyo
visit,ziyaret etmek
management,yönetmek
avoid,kaçınmak
imagine,hayal etmek
tonight,bu akşam
huge,büyük
ball,top
finish,sona ermek
yourself,kendin
theory,teori
impact,darbe
respond,yanıtlamak
statement,ifade
maintain,sürdürmek
charge,şarj
popular,popüler
traditional,geleneksel
onto,üzerine
reveal,ortaya çıkarmak
direction,yön
weapon,silah
employee,çalışan
cultural,kültürel
contain,içermek
peace,barış
pain,ağrı
apply,uygula
measure,ölçüm
wide,geniş
shake,sallamak
fly,uçmak
interview,röportaj
manage,üstesinden gelmek
chair,sandalye
fish,balık
particular,özel
camera,kamera
structure,yapı
politics,siyaset
perform,rol yapmak
bit,biraz
weight,ağırlık
suddenly,Birden
discover,keşfetmek
candidate,aday
production,üretme
treat,davranmak
trip,seyahat
evening,akşam
affect,etkilemek
inside,içeri
conference,konferans
unit,birim
style,stil
adult,yetişkin
worry,endişelenmek
range,menzil
mention,değinmek
deep,derin
edge,kenar
specific,özel
writer,yazar
trouble,bela
necessary,gerekli
throughout,boyunca
challenge,meydan okumak
fear,korku
shoulder,omuz
institution,kurum
middle,orta
sea,deniz
dream,rüya
bar,çubuk
beautiful,Güzel
property,mülk
instead,yerine
improve,geliştirmek
stuff,şey
detail,detay
method,yöntem
somebody,birisi
magazine,dergi
hotel,otel
soldier,asker
reflect,yansıtmak
heavy,ağır
sexual,cinsel
bag,çanta
heat,sıcaklık
marriage,evlilik
tough,zorlu
sing,şarkı söylemek
surface,yüzey
purpose,amaç
exist,var olmak
pattern,model
whom,kime
skin,deri
agent,ajan
owner,mal sahibi
machine,makine
gas,gaz
ahead,ilerde
generation,nesil
commercial,reklam
address,adres
cancer,kanser
item,öğe
reality,gerçeklik
coach,koç
Mrs,Bayan
yard,bahçe
beat,vurmak
violence,şiddet
total,Toplam
tend,eğilimli olma
investment,yatırım
discussion,tartışma
finger,parmak
garden,bahçe
notice,fark etme
collection,Toplamak
modern,modern
task,görev
partner,ortak
positive,pozitif
civil,sivil
kitchen,mutfak
consumer,tüketici
shot,atış
budget,bütçe
wish,dilek
painting,tablo
scientist,bilim adamı
safe,güvenli
agreement,anlaşma
capital,başkent
mouth,ağız
nor,ne de
victim,kurban
newspaper,gazete
threat,tehdit
responsibility,sorumluluk
smile,gülümsemek
attorney,avukat
score,Gol
account,hesap
interesting,ilginç
audience,kitle
rich,zengin
dinner,akşam yemeği
vote,oy
western,batılı
relate,ilgili olmak
travel,seyahat
debate,çekişme
prevent,önlemek
citizen,vatandaş
majority,çoğunluk
none,hiçbiri
front,ön
born,doğmak
admit,itiraf etmek
senior,kıdemli
assume,farz etmek
wind,rüzgâr
key,anahtar
professional,profesyonel
mission,misyon
fast,hızlı
alone,yalnız
customer,müşteri
suffer,acı çekmek
speech,konuşma
successful,başarılı
option,seçenek
participant,katılımcı
southern,güney
fresh,taze
eventually,sonunda
forest,orman
video,video
global,küresel
Senate,Senato
reform,reform
access,erişim
restaurant,restoran
judge,yargıç
publish,Yayınla
relation,ilişki
release,serbest bırakmak
bird,kuş
opinion,fikir
credit,kredi
critical,kritik
corner,köşe
concerned,endişeli
recall,hatırlamak
version,versiyon
stare,bakmak
safety,emniyet
effective,etkili
neighborhood,komşu
original,orijinal
troop,birlik
income,gelir
directly,direkt olarak
hurt,acıtmak
species,türler
immediately,hemen
track,izlemek
basic,temel
strike,çarpmak
sky,gökyüzü
freedom,özgürlük
absolutely,kesinlikle
plane,uçak
nobody,hiç kimse
achieve,başarmak
object,nesne
attitude,davranış
labor,iş gücü
refer,bahsetmek
concept,kavram
client,müşteri
powerful,güçlü
perfect,mükemmel
nine,dokuz
therefore,Öyleyse
conduct,yönetmek
announce,duyurmak
conversation,konuşma
examine,incelemek
touch,dokunmak
please,Lütfen
attend,katılmak
completely,tamamen
variety,çeşitlilik
sleep,uyumak
involved,dahil olmuş
investigation,soruşturma
nuclear,nükleer
researcher,araştırmacı
press,basmak
conflict,anlaşmazlık
spirit,ruh
replace,yer değiştirmek
British,ingiliz
encourage,cesaretlendirmek
argument,argüman
camp,kamp
brain,beyin
feature,özellik
afternoon,öğleden sonra
AM,sabah
weekend,hafta sonu
dozen,düzine
possibility,olasılık
insurance,sigorta
department,departman
battle,savaş
beginning,başlangıç
date,tarih
generally,genel olarak
African,Afrikalı
sorry,Üzgünüm
crisis,kriz
complete,tamamlamak
fan,fan
stick,sopa
define,tanımlamak
easily,kolayca
hole,delik
element,eleman
vision,görüş
status,durum
normal,normal
Chinese,Çince
ship,gemi
solution,çözüm
stone,taş
slowly,yavaşça
scale,ölçek
university,Üniversite
introduce,tanıtmak
driver,sürücü
attempt,girişim
park,park
spot,leke
lack,eksiklik
ice,buz
boat,bot
drink,içmek
sun,güneş
distance,mesafe
wood,odun
handle,halletmek
truck,kamyon
mountain,dağ
survey,anket
supposed,sözde
tradition,gelenek
winter,kış
village,köy
Soviet,Sovyet
refuse,reddetmek
sales,satış
roll,rulo
communication,iletişim
screen,ekran
gain,kazanmak
resident,ikamet eden kişi
hide,saklamak
gold,altın
club,kulüp
farm,çiftlik
potential,potansiyel
European,Avrupalı
presence,mevcudiyet
independent,bağımsız
district,semt
shape,şekil
reader,okuyucu
Ms,Hanım
contract,sözleşme
crowd,kalabalık
Christian,Hıristiyan
express,ifade etmek
apartment,apartman
willing,hevesli
strength,kuvvet
previous,öncesi
band,bant
obviously,açıkça
horse,atış
interested,ilgili
target,hedef
prison,hapishane
ride,sürmek
guard,koruma
terms,şartlar
demand,talep etmek
reporter,muhabir
deliver,teslim etmek
text,metin
tool,alet
wild,vahşi
vehicle,araç
observe,gözlemlemek
flight,uçuş
facility,tesis
understanding,anlayış
average,ortalama
emerge,meydana gelmek
advantage,avantaj
quick,hızlı
leadership,liderlik
earn,para kazanmak
pound,pound
basis,temel
bright,parlak
operate,işletmek
guest,misafir
sample,örnek
contribute,katkı yapmak
tiny,minik
block,engellemek
protection,koruma
settle,yerleşmek
feed,beslemek
collect,TOPLAMAK
additional,ek olarak
highly,büyük ölçüde
identity,kimlik
title,başlık
mostly,çoğunlukla
lesson,ders
faith,inanç
river,nehir
promote,terfi
living,yaşamak
count,saymak
unless,meğer ki
marry,evlenmek
tomorrow,Yarın
technique,teknik
path,yol
ear,kulak
shop,mağaza
folk,halk
principle,prensip
survive,hayatta kalmak
lift,kaldırmak
border,sınır
competition,yarışma
jump,zıplamak
gather,toplamak
limit,sınır
fit,yerleştirmek
cry,ağlamak
equipment,teçhizat
worth,değer
associate,iş arkadaşı
critic,eleştirmen
warm,ılık
aspect,bakış açısı
insist,ısrar etmek
failure,arıza
annual,yıllık
French,Fransızca
Christmas,Noel
comment,Yorum
responsible,sorumlu
affair,mesele
procedure,prosedür
regular,düzenli
spread,yaymak
chairman,başkan
baseball,beyzbol
soft,yumuşak
ignore,görmezden gelmek
egg,Yumurta
belief,inanç
demonstrate,göstermek
anybody,herhangi biri
murder,cinayet
gift,hediye
religion,din
review,gözden geçirmek
editor,editör
engage,angaje etmek
coffee,Kahve
document,belge
speed,hız
cross,geçmek
influence,etkilemek
anyway,Neyse
threaten,tehdit etmek
commit,işlemek
female,dişi
youth,gençlik
wave,dalga
afraid,korkmuş
quarter,çeyrek
background,arka plan
native,yerli
broad,kalın
wonderful,müthiş
deny,reddetmek
apparently,görünüşe göre
slightly,biraz
reaction,reaksiyon
twice,iki kere
suit,uygun olmak
perspective,perspektif
growing,büyüyor
blow,üflemek
construction,yapı
intelligence,istihbarat
destroy,tahrip etmek
cook,aşçı
connection,bağlantı
burn,yakmak
shoe,ayakkabı
grade,seviye
context,bağlam
committee,Kurul
hey,Hey
mistake,hata
location,konum
clothes,kıyafetler
Indian,Hintli
quiet,sessizlik
dress,elbise
promise,söz
aware,farkında olmak
neighbor,komşu
function,işlev
bone,kemik
active,aktif
extend,uzatmak
chief,şef
combine,birleştirmek
wine,şarap
below,altında
cool,Serin
voter,seçmen
learning,öğrenme
bus,otobüs
hell,cehennem
dangerous,tehlikeli
remind,hatırlatmak
moral,ahlaki
United,Birleşik
category,kategori
relatively,nispeten
victory,zafer
academic,akademik
Internet,internet
healthy,sağlıklı
negative,olumsuz
following,takip etme
historical,tarihi
medicine,ilaç
tour,tur
depend,bağlı olmak
photo,Fotoğraf
finding,bulma
grab,yakalamak
direct,doğrudan
classroom,sınıf
contact,temas etmek
justice,adalet
participate,katılmak
daily,günlük
fair,adil
pair,çift
famous,ünlü
exercise,egzersiz yapmak
knee,diz
flower,çiçek
tape,kaset
hire,kiralamak
familiar,aşina
appropriate,uygun
supply,tedarik
fully,tamamen
actor,aktör
birth,doğum
search,aramak
tie,bağlamak
democracy,demokrasi
eastern,doğu
primary,öncelik
yesterday,Dün
circle,daire
device,cihaz
progress,ilerlemek
bottom,alt
island,ada
exchange,değişme
clean,temiz
studio,stüdyo
train,tren
lady,bayan
colleague,iş arkadaşı
application,başvuru
neck,boyun
lean,eğilmek
damage,zarar
plastic,plastik
tall,uzun
plate,plaka
hate,nefret
otherwise,aksi takdirde
writing,yazı
male,erkek
alive,canlı
expression,ifade
football,Futbol
intend,niyet etmek
chicken,tavuk
army,ordu
abuse,suistimal etmek
theater,tiyatro
shut,kapamak
map,harita
extra,ekstra
session,oturum
danger,tehlike
welcome,Hoş geldin
domestic,yerel
lots,sürü
literature,edebiyat
rain,yağmur
desire,arzu
assessment,değerlendirme
injury,incinme
respect,Saygı
northern,kuzey
nod,başını sallamak
paint,boyamak
fuel,yakıt
leaf,yaprak
dry,kuru
Russian,Rusça
instruction,talimat
pool,havuz
climb,tırmanmak
sweet,tatlı
engine,motor
fourth,dördüncü
salt,tuz
expand,genişletmek
importance,önem
metal,metal
fat,yağ
ticket,bilet
software,yazılım
disappear,yok olmak
corporate,Kurumsal
strange,garip
lip,dudak
reading,okuma
urban,kentsel
mental,zihinsel
increasingly,giderek
lunch,öğle yemeği
educational,eğitici
somewhere,bir yerde
farmer,çiftçi
sugar,şeker
planet,gezegen
favorite,favori
explore,keşfetmek
obtain,elde etmek
enemy,düşman
greatest,En büyük
complex,karmaşık
surround,çevrelemek
athlete,atlet
invite,davet etmek
repeat,tekrarlamak
carefully,dikkatlice
soul,ruh
scientific,ilmi
impossible,imkansız
panel,panel
meaning,Anlam
mom,anne
married,evli
instrument,enstrüman
predict,tahmin etmek
weather,hava durumu
presidential,başkanlık
emotional,duygusal
commitment,bağlılık
Supreme,Yüce
bear,ayı
pocket,cep
thin,ince
temperature,sıcaklık
surprise,sürpriz
poll,anket
proposal,teklif
consequence,sonuçlar
breath,nefes
sight,görünüş
balance,denge
adopt,evlat edinmek
minority,azınlık
straight,dümdüz
connect,bağlamak
works,İşler
teaching,öğretim
belong,ait olmak
aid,yardım
advice,tavsiye
okay,Tamam
photograph,fotoğraf
empty,boş
regional,bölgesel
trail,iz
novel,roman
code,kod
somehow,bir şekilde
organize,düzenlemek
jury,jüri
breast,göğüs
Iraqi,Irak
acknowledge,kabullenmek
theme,tema
storm,fırtına
union,birlik
desk,çalışma masası
thanks,teşekkürler
fruit,meyve
expensive,masraflı
yellow,sarı
conclusion,çözüm
prime,astar vurmak
shadow,gölge
struggle,çabalamak
conclude,sonuçlandırmak
analyst,analist
dance,dans
regulation,düzenleme
being,yapı
ring,yüzük
largely,büyük oranda
shift,vardiya
revenue,hasılat
mark,işaret
locate,yerini belirlemek
county,ilçe
appearance,dış görünüş
package,paket
difficulty,zorluk
bridge,köprü
recommend,tavsiye etmek
obvious,bariz
basically,temel olarak
e-mail,e-posta
generate,oluşturmak
anymore,artık değil
propose,"teklif etmek, önermek"
thinking,düşünme
possibly,muhtemelen
trend,akım
visitor,ziyaretçi
loan,borç
currently,şu anda
comfortable,rahat
investor,yatırımcı
profit,kâr
angry,sinirli
crew,mürettebat
accident,kaza
meal,yemek
hearing,işitme
traffic,trafik
muscle,kas
notion,fikir
capture,esir almak
prefer,tercih etmek
truly,tamamen
earth,toprak
Japanese,Japonca
chest,göğüs
thick,kalın
cash,peşin
museum,müze
beauty,güzellik
emergency,acil durum
unique,eşsiz
internal,dahili
ethnic,etnik
link,bağlantı
stress,stres
content,içerik
select,seçme
root,kök
nose,burun
declare,ilan etmek
appreciate,takdirle karşılamak
actual,gerçek
bottle,şişe
hardly,zorlu
setting,ayar
launch,öğle yemeği
file,dosya
sick,hasta
outcome,sonuç
ad,reklam
defend,savunmak
duty,görev
sheet,çarşaf
ought,yapmalı
ensure,emin olmak
Catholic,Katolik
extremely,aşırı boyutta
extent,kapsam
component,bileşen
mix,karışım
long-term,uzun vadeli
slow,yavaş
contrast,zıtlık
zone,alan
wake,uyanmak
airport,havalimanı
brown,kahverengi
shirt,gömlek
pilot,pilot
warn,uyarmak
ultimately,sonuçta
cat,kedi
contribution,katkı
capacity,kapasite
ourselves,kendimizi
estate,arazi
guide,rehber
circumstance,durum
snow,kar
English,İngilizce
politician,politikacı
steal,hırsızlık yapmak
pursue,izlemek
slip,kayma
percentage,yüzde
meat,et
funny,eğlenceli
neither,hiç biri
soil,toprak
surgery,ameliyat
correct,doğru
Jewish,Yahudi
blame,suçlamak
estimate,tahmin etmek
due,vadesi dolmuş
basketball,Basketbol
golf,golf
investigate,araştırmak
crazy,deli
significantly,önemli ölçüde
chain,zincir
branch,dal
combination,kombinasyon
frequently,sıklıkla
governor,Vali
relief,rahatlama
user,kullanıcı
dad,baba
kick,tekme atmak
manner,biçim
ancient,antik
silence,sessizlik
rating,değerlendirme
golden,altın
motion,hareket
German,Almanca
gender,cinsiyet
solve,çözmek
fee,ücret
landscape,manzara
used,kullanılmış
bowl,tas
equal,eşit
forth,ileri
frame,çerçeve
typical,tipik
except,hariç
conservative,tutucu
eliminate,elemek
host,ev sahibi
hall,salon
trust,güven
ocean,okyanus
row,sıra
producer,üretici
afford,parası yetmek
meanwhile,Bu sırada
regime,rejim
division,bölüm
confirm,onaylamak
fix,düzeltmek
appeal,çekici
mirror,ayna
tooth,diş
smart,akıllı
length,uzunluk
entirely,Baştan sona
rely,güvenmek
topic,başlık
complain,şikayet etmek
variable,değişken
telephone,telefon
perception,algı
attract,cezbetmek
confidence,kendinden emin
bedroom,yatak odası
secret,gizli
debt,borç
rare,nadir
tank,tankı
nurse,hemşire
coverage,kapsama
opposition,muhalefet
aside,bir kenara
anywhere,herhangi bir yer
bond,bağlamak
pleasure,zevk
master,usta
era,dönem
requirement,gereklilik
fun,eğlence
expectation,beklenti
wing,kanat
separate,ayırmak
somewhat,biraz
pour,dökün
stir,karıştırmak
judgment,yargı
beer,bira
reference,referans
tear,göz yaşı
doubt,şüphe
grant,hibe etmek
seriously,Cidden
minister,bakan
totally,tamamen
hero,kahraman
industrial,Sanayi
cloud,bulut
stretch,uzatmak
winner,kazanan
volume,hacim
seed,tohum
surprised,şaşırmış
fashion,moda
pepper,biber
busy,Meşgul
intervention,araya girmek
copy,kopyala
tip,uç
cheap,ucuz
aim,amaç
cite,anmak
welfare,refah
vegetable,sebze
gray,gri
dish,tabak
beach,sahil
improvement,gelişim
everywhere,her yer
opening,açılış
overall,etraflı
divide,bölmek
initial,ilk
terrible,korkunç
oppose,karşı çıkmak
contemporary,modern
route,rota
multiple,çoklu
essential,gerekli
league,lig
criminal,adli
careful,dikkatli olmak
core,çekirdek
upper,üst
rush,acele etmek
necessarily,mutlaka
specifically,özellikle
tired,yorgun
employ,kullanmak
holiday,tatil
vast,büyüklük
resolution,çözünürlük
household,ev
fewer,daha az
abortion,kürtaj
apart,ayrı
witness,tanık
match,kibrit
barely,neredeyse
sector,sektör
representative,temsilci
beneath,altında
beside,yanında
incident,olay
limited,sınırlı
proud,gurur duymak
flow,akış
faculty,Fakülte
increased,artırılmış
waste,atık
merely,sadece
mass,yığın
emphasize,vurgu
experiment,deney
definitely,kesinlikle
bomb,bomba
enormous,kocaman
tone,ton
liberal,liberal
massive,cüsseli
engineer,mühendis
wheel,teker
decline,reddetmek
invest,yatırım
cable,kablo
towards,karşı
expose,ortaya çıkarmak
rural,kırsal
AIDS,AIDS
Jew,Yahudi
narrow,dar
cream,krem
secretary,Sekreter
gate,geçit
solid,sağlam
hill,tepe
typically,tipik
noise,gürültü
grass,çimen
unfortunately,Ne yazık ki
hat,şapka
legislation,mevzuat
succeed,başarmak
celebrate,kutlamak
achievement,başarı
fishing,Balık tutma
accuse,suçlamak
useful,kullanışlı
reject,reddetmek
talent,yetenek
taste,tatmak
characteristic,karakteristik
milk,süt
escape,kaçmak
cast,döküm
